Average,,,,,
e1 [1] - engr.,e2 [1] - engr.,gamma [1] - engr.,Time_0,Time,Pressure
0.0174668,-0.00235754,-0.0166435,1624.2822,1339.9998,104066.4792
0.0158661,-0.0021845,-0.0140741,1629.283,1345.0006,104004.5274
0.0144123,-0.00201418,-0.0112966,1634.2831,1350.0007,104224.0273
0.0181704,-0.00239486,-0.0173256,1639.283,1355.0006,104127.1646
0.0165593,-0.00229442,-0.0152786,1644.2821,1359.9997,103908.456
0.0150157,-0.00213502,-0.0128537,1649.2829,1365.0005,104191.9764
0.0175238,-0.00232235,-0.0165293,1654.2828,1370.0004,104190.1686
0.0172918,-0.00237086,-0.0160301,1659.2822,1374.9998,104082.8262
0.015734,-0.00218776,-0.0140478,1664.2828,1380.0004,104344.3342
0.0143296,-0.00199014,-0.0111547,1669.2824,1385,104291.55
0.0179972,-0.00244078,-0.0164612,1674.2824,1390,104081.41
0.0164093,-0.00230007,-0.014964,1679.2824,1395,104251.18
0.0162207,-0.0022292,-0.0142987,1684.2825,1400.0001,104291.8788
0.0185389,-0.00251744,-0.0172722,1689.2822,1404.9998,104120.9797
0.0168736,-0.00233679,-0.0152669,1694.2824,1410,104179.03
0.0153325,-0.00219462,-0.0128534,1699.2828,1415.0004,104325.0345
0.0190766,-0.00254629,-0.0173923,1704.2819,1419.9995,104194.021
0.0174121,-0.0024278,-0.0162286,1709.282,1424.9996,104114.2219
0.0158699,-0.0022362,-0.0139329,1714.2827,1430.0003,104336.3869
0.0195544,-0.00257936,-0.0177598,1719.2828,1435.0004,104232.2838
0.017961,-0.00246194,-0.0164411,1724.2824,1440,104196.41
0.0163543,-0.00230287,-0.0141652,1729.2832,1445.0008,104396.298
0.018409,-0.00245995,-0.0170346,1734.2826,1450.0002,104282.3456
0.0184576,-0.00252895,-0.0171294,1739.2827,1455.0003,104103.0394
0.0168177,-0.00236404,-0.0148177,1744.2823,1459.9999,104378.8789
0.0187914,-0.00251839,-0.0171837,1749.2826,1465.0002,104320.6923
0.0188584,-0.0025924,-0.016714,1754.2824,1470,104107.86
0.017191,-0.00241931,-0.0148604,1759.2824,1475,104342.985
0.0166686,-0.00232046,-0.0145241,1764.283,1480.0006,104337.3597
0.0192698,-0.00260216,-0.0167679,1769.2824,1485,104141
0.0176034,-0.00244499,-0.0152302,1774.2831,1490.0007,104181.1929
0.0160574,-0.00225108,-0.0131845,1779.2827,1495.0003,104231.3317
0.0196662,-0.00266587,-0.0174641,1784.2828,1500.0004,104330.9139
0.0179985,-0.00250298,-0.0162507,1789.2829,1505.0005,104275.2208
0.0164288,-0.00230416,-0.0141214,1794.2822,1509.9998,104307.9205
0.0175649,-0.00241117,-0.015767,1799.2829,1515.0005,104258.7899
0.0186437,-0.00252361,-0.0165423,1804.2829,1520.0005,104292.7734
0.0190589,-0.00259517,-0.0172778,1809.2831,1525.0007,104322.7423
0.0174777,-0.00244431,-0.0152743,1814.2828,1530.0004,104259.3944
0.0185312,-0.00252633,-0.0160347,1819.2826,1535.0002,104443.1691
0.0183141,-0.00245503,-0.0159128,1824.2821,1539.9997,104498.5047
0.0179769,-0.00247711,-0.0158177,1829.2828,1545.0004,104323.4886
0.018991,-0.00257179,-0.0169977,1834.2829,1550.0005,104368.1799
0.0174275,-0.00243833,-0.0151054,1839.2824,1555,104463.265
0.0209913,-0.00280922,-0.0182708,1844.2826,1560.0002,104373.4476
0.019242,-0.00266233,-0.0168394,1849.282,1564.9996,104482.6307
0.0176009,-0.00245127,-0.015037,1854.2825,1570.0001,104405.4162
0.0211261,-0.0027968,-0.0187408,1859.2818,1574.9994,104510.3575
0.0194586,-0.00269865,-0.0169938,1864.2828,1580.0004,104596.1958
0.0178013,-0.00252342,-0.0154307,1869.2829,1585.0005,104453.3944
0.0201477,-0.00274921,-0.0175538,1874.2817,1589.9993,104380.817
0.018498,-0.00255636,-0.0159251,1879.2831,1595.0007,104429.8932
0.0219832,-0.00292974,-0.0185594,1884.2829,1600.0005,104665.9572
0.0202418,-0.00277929,-0.0179226,1889.2826,1605.0002,104553.6206
0.0185032,-0.00259958,-0.0158407,1894.2826,1610.0002,104309.2813
0.0195351,-0.00264998,-0.0167738,1899.2828,1615.0004,104536.0253
0.0224503,-0.00293359,-0.0191049,1904.283,1620.0006,104486.839
0.0212739,-0.00292148,-0.0179532,1909.2826,1625.0002,104490.9512
0.0195121,-0.0027312,-0.0166444,1914.2828,1630.0004,104747.4234
0.0178598,-0.00251588,-0.0147447,1919.282,1634.9996,104690.4535
0.0213456,-0.00289435,-0.018107,1924.2827,1640.0003,104493.1122
0.019567,-0.00274707,-0.0167638,1929.2823,1644.9999,104602.0273
0.0199042,-0.00268581,-0.0172154,1934.2828,1650.0004,104621.5574
0.0231453,-0.00312307,-0.0188129,1939.2822,1654.9998,104426.5905
0.0212471,-0.00294363,-0.0178764,1944.2827,1660.0003,104652.1745
0.0194307,-0.00275774,-0.0162487,1949.2831,1665.0007,104606.2785
0.0229144,-0.00306312,-0.0187186,1954.2826,1670.0002,104449.0573
0.0211223,-0.00292865,-0.0174241,1959.282,1674.9996,104685.4145
0.0193539,-0.00274245,-0.0164399,1964.2827,1680.0003,104621.7581
0.0228083,-0.00305905,-0.0185179,1969.2824,1685,104400.04
0.0209933,-0.00290539,-0.0169021,1974.2825,1690.0001,104595.7674
0.0194869,-0.00273213,-0.0159402,1979.2826,1695.0002,104592.9527
0.0225939,-0.00309266,-0.0183634,1984.2825,1700.0001,104659.3562
0.0208175,-0.00289377,-0.0169499,1989.2826,1705.0002,104762.7156
0.0191626,-0.00272098,-0.015614,1994.2826,1710.0002,104594.3792
0.0225147,-0.00307931,-0.0182208,1999.2822,1714.9998,104730.0788
0.0206927,-0.00291684,-0.0172079,2004.2822,1719.9998,104732.8649
0.0240435,-0.00324053,-0.0191489,2009.2826,1725.0002,104525.7726
0.022149,-0.00312062,-0.0178617,2014.2828,1730.0004,104749.3029
0.0203869,-0.00288668,-0.0166049,2019.2832,1735.0008,104684.8938
0.0237589,-0.00321434,-0.0184735,2024.2824,1740,104512.33
0.021882,-0.00305684,-0.01749,2029.2829,1745.0005,104749.1404
0.0200978,-0.00286721,-0.0162548,2034.2823,1749.9999,104656.6739
0.0234122,-0.00321454,-0.0189413,2039.2823,1754.9999,104732.8186
0.021586,-0.00301635,-0.0172709,2044.2822,1759.9998,104623.7482
0.0221206,-0.00299272,-0.0178516,2049.2823,1764.9999,104872.4768
0.0231277,-0.00321078,-0.0182433,2054.2828,1770.0004,104810.7617
0.0213321,-0.00297067,-0.0168492,2059.2828,1775.0004,104632.3531
0.0232107,-0.00314094,-0.0180895,2064.2832,1780.0008,104853.9184
0.0213927,-0.00299151,-0.0166167,2069.282,1784.9996,104749.4065
0.0246797,-0.0033401,-0.0188876,2074.2826,1790.0002,104787.5005
0.0227527,-0.003198,-0.0177424,2079.2822,1794.9998,104857.993
0.0220543,-0.00304494,-0.0171996,2084.2829,1800.0005,104672.8817
0.0241782,-0.00331101,-0.0185155,2089.2828,1805.0004,104805.3961
0.0222915,-0.00312569,-0.0174884,2094.2826,1810.0002,104792.5642
0.025521,-0.00341408,-0.0191042,2099.2824,1815,104757.26
0.0236767,-0.00330171,-0.0181148,2104.2826,1820.0002,104990.655
0.0218062,-0.00309376,-0.0170761,2109.2825,1825.0001,104973.067
0.0251108,-0.00338796,-0.0187649,2114.2829,1830.0005,104751.2848
0.0232553,-0.00321858,-0.0179497,2119.2828,1835.0004,104856.5026
0.0223853,-0.00311837,-0.0174132,2124.2831,1840.0007,104859.8756
0.0264555,-0.00361048,-0.0188672,2129.2825,1845.0001,104786.6486
0.0244441,-0.00340867,-0.0183647,2134.283,1850.0006,104957.9108
0.0224719,-0.00319808,-0.0171578,2139.283,1855.0006,104808.2566
0.0257726,-0.0035074,-0.0189778,2144.282,1859.9996,104868.4826
0.0238649,-0.00331654,-0.0177332,2149.2828,1865.0004,105133.5479
0.0259704,-0.00346466,-0.0188033,2154.2826,1870.0002,105016.9551
0.0251823,-0.0034488,-0.0183601,2159.2817,1874.9993,104752.9054
0.0232395,-0.003229,-0.0172592,2164.2828,1880.0004,104927.1151
0.0278341,-0.0037111,-0.0193469,2169.283,1885.0006,105109.7616
0.0271025,-0.00371587,-0.0188803,2174.2824,1890,104964.53
0.0249556,-0.00357204,-0.0184164,2179.282,1894.9996,104836.3694
0.0230613,-0.00326878,-0.0169779,2184.2819,1899.9995,105192.1138
0.0288747,-0.00385874,-0.019089,2189.2828,1905.0004,105125.0621
